From	To
I7G638	MSMEI_1606
A0QSY4	MSMEG_1645
A0QSZ0	metXA
I7G4H9	metC
A0QSZ1	MSMEG_1652
I7FYJ4	icd2
A0QSZ3	MSMEG_1654
A0QT01	MSMEG_1662
I7F950	MSMEI_1623
I7G4J1	sdhB
A0QT07	sdhB
I7FYK4	sdhA
A0QT08	sdhA
A0QT10	sdhC
I7FYK9	add
A0QT14	add
I7F965	amiB1
A0QT17	MSMEG_1679
I7FGZ2	MSMEI_1641
A0QT20	MSMEG_1682
I7FYM8	MSMEI_1665
A0QT43	MSMEG_1705
I7F990	MSMEI_1668
A0QT46	MSMEG_1708
I7FYQ2	lpdA
A0QT69	MSMEG_1735
A0QT77	MSMEG_1743
I7F9C2	MSMEI_1703
I7FYS2	MSMEI_1725
A0QTA2	MSMEG_1768
I7FYT4	MSMEI_1745
A0QTC4	MSMEG_1790
I7F9G5	MSMEI_1748
A0QTC7	MSMEG_1794
I7G6F9	MSMEI_1752
A0QTD1	MSMEG_1797
I7F9H6	rsbW
A0QTD7	MSMEG_1803
I7G4Y0	sigF
A0QTD8	MSMEG_1804
I7G6G9	accA3
A0QTE1	MSMEG_1807
I7F9I1	MSMEI_1763
A0QTE2	MSMEG_1808
I7G4Z5	MSMEI_1774
A0QTF0	MSMEG_1818
I7F9J9	fadE25
A0QTF4	MSMEG_1821
A0QTF7	MSMEG_1824
I7FHF3	MSMEI_1781
I7FYZ0	MSMEI_1830
A0QTJ7	MSMEG_1869
I7FHL6	MSMEI_1831
A0QTJ8	MSMEG_1870
I7G560	tmk
A0QTK1	MSMEG_1873
A0QTK3	mtrB
I7FZ10	MSMEI_1855
A0QTM3	MSMEG_1895
A0QTP2	sigH
A0QTP3	rshA
A0QTR1	MSMEG_1932
I7G6W0	MSMEI_1892
A0QTR2	MSMEG_1934
I7FA01	MSMEI_1893
A0QTR3	MSMEG_1935
A0QTS0	MSMEG_1943
I7FZ56	MSMEI_1900
I7G6X4	MSMEI_1902
A0QTS2	MSMEG_1944
I7FZ60	MSMEI_1905
A0QTS5	MSMEG_1947
I7FA18	MSMEI_1908
A0QTS9	MSMEG_1951
A0QTT7	MSMEG_1959
I7G6Y5	MSMEI_1917
A0QTT9	MSMEG_1961
I7FI16	fadE3
A0QTW7	MSMEG_1991
I7FI27	MSMEI_1962
A0QTY3	MSMEG_2007
I7FZ91	MSMEI_1966
A0QTY7	MSMEG_2011
I7FA65	modC
A0QTZ0	MSMEG_2014
I7FI35	MSMEI_1972
A0QTZ3	MSMEG_2017
I7FI43	MSMEI_1982
A0QU01	MSMEG_2027
I7FA90	MSMEI_1999
A0QU18	MSMEG_2045
I7FAC0	MSMEI_2029
A0QU47	MSMEG_2074
I7FAC5	MSMEI_2034
A0QU52	MSMEG_2079
I7FI99	MSMEI_2037
A0QU56	MSMEG_2083
A0QU58	prfB
I7G778	MSMEI_2043
A0QU61	ftsE
A0QU80	MSMEG_2110
I7G796	MSMEI_2063
A0QU81	MSMEG_2111
I7FZE4	MSMEI_2066
A0QU83	MSMEG_2115
I7G7A5	MSMEI_2073
A0QU91	MSMEG_2121
I7G5S6	mbtK
A0QU98	MSMEG_2128
I7FAJ5	MSMEI_2105
A0QUC4	MSMEG_2157
I7FAK0	MSMEI_2110
A0QUC9	MSMEG_2163
I7FAK8	MSMEI_2120
A0QUD9	MSMEG_2173
I7G5V9	MSMEI_2121
A0QUE0	MSMEG_2174
I7G7I0	MSMEI_2149
A0QUG7	MSMEG_2201
A0QUH1	MSMEG_2205
I7FIK6	MSMEI_2153
A0QUH2	fabG
I7G7I4	fabG2
I7G5Z0	MSMEI_2156
A0QUH4	MSMEG_2208
I7FZL5	MSMEI_2172
A0QUI9	MSMEG_2225
I7FIQ9	cstA
A0QUM3	MSMEG_2259
A0QUP1	ligB
I7GCI5	MSMEI_3871
I7FIT1	MSMEI_2223
A0QZB5	MSMEG_3964
A0QUP4	MSMEG_2280
I7G6A9	etfB
A0QUV6	etfB
I7FB52	MSMEI_2300
A0QUW5	MSMEG_2360
A0QUW7	ligA
A0QUX7	ilvH
I7G6D4	MSMEI_2316
A0QUY0	MSMEG_2376
I7G821	leuB
A0QUY3	leuB
I7FB77	leuC
A0QUY9	leuC
I7G6E6	leuD
A0QUZ0	leuD
I7FJ40	mutT1
A0QUZ2	MSMEG_2390
I7G832	ppk
A0QUZ3	ppk
A0QV01	ung
I7FJ52	rpmB-3
A0QV03	rpmB
I7G857	pca
A0QV14	pyc
I7FJ70	MSMEI_2355
A0QV18	MSMEG_2416
I7G001	ffh
A0QV32	ffh
A0QV42	rplS
A0QV43	lepB
I7FJA4	lepB
I7G6M8	MSMEI_2388
A0QV52	MSMEG_2450
I7G6P1	MSMEI_2408
A0QV71	MSMEG_2470
I7G066	MSMEI_2439
A0QVA0	MSMEG_2500
I7FBN4	MSMEI_2452
A0QVB1	MSMEG_2511
I7G6S3	MSMEI_2453
A0QVB2	MSMEG_2512
A0QVB6	MSMEG_2516
I7G6S5	MSMEI_2458
A0QVB8	rpsB
A0QVB9	tsf
I7G6S9	MSMEI_2468
A0QVC7	MSMEG_2528
A0QVD2	MSMEG_2533
I7G6T2	MSMEI_2473
I7FBQ8	cdsA
A0QVE1	cdsA
A0QVE4	rlmN
I7FBR6	aldA
A0QVF1	MSMEG_2552
I7G6W8	ispG
A0QVH9	ispG
A0QVI1	MSMEG_2582
I7G6X3	MSMEI_2523
A0QVI4	MSMEG_2585
I7G0D4	gorA
A0QVL0	MSMEG_2611
I7G8X9	cysG
A0QVL7	cobA
A0QVM0	proS
A0QVM3	rimP
I7G0F5	MSMEI_2584
A0QVP6	MSMEG_2647
I7FJY0	ribF
A0QVQ2	ribF
A0QVQ3	rpsO
A0QVQ5	pnp
A0QVQ6	MSMEG_2657
I7G0G1	MSMEI_2594
A0QVQ9	MSMEG_2660
I7G0G8	MSMEI_2604
A0QVR7	MSMEG_2667
I7FJZ3	MSMEI_2605
A0QVR8	MSMEG_2669
I7G953	pgsA3
A0QVT9	pgsA
I7G0I6	MSMEI_2634
A0QVU7	MSMEG_2700
A0QVX5	miaB
A0QVY0	dapF
I7G7B5	ideR
A0QVZ3	MSMEG_2750
I7G0L0	mysB
A0QVZ5	MSMEG_2752
I7FK69	MSMEI_2685
A0QVZ6	MSMEG_2753
A0QVZ7	MSMEG_2754
I7G9C9	MSMEI_2686
I7G7C1	MSMEI_2688
A0QVZ9	MSMEG_2756
I7G9D5	ppgK
A0QW03	MSMEG_2760
I7FCA6	suhB
A0QW04	MSMEG_2762
I7G0L7	MSMEI_2699
A0QW11	MSMEG_2768
A0QW18	nhaA
A0QW25	MSMEG_2782
I7FK99	MSMEI_2715
A0QW27	msrB
I7G7F4	MSMEI_2718
A0QW30	MSMEG_2787
I7G7G0	MSMEI_2723
A0QW35	MSMEG_2792
A0QW47	MSMEG_2804
I7G7H1	MSMEI_2733
I7G0Q8	MSMEI_2754
A0QW62	MSMEG_2826
I7FKI3	MSMEI_2794
A0QWA0	MSMEG_2868
I7G7U8	MSMEI_2852
A0QWF6	MSMEG_2925
A0QWG2	thrS
I7G0X1	MSMEI_2858
A0QWG3	MSMEG_2932
A0QWG6	pimA
A0QWG8	pdxS
A0QWH6	ruvB
A0QWI8	MSMEG_2957
I7G0Z1	MSMEI_2883
I7FCY6	MSMEI_2886
A0QWJ1	yajC
I7FCZ4	relA
A0QWJ6	relA
I7G840	hisS
A0QWK7	hisS
I7GA87	MSMEI_2925
A0QWN0	MSMEG_3000
I7FKZ9	MSMEI_2929
A0QWN4	MSMEG_3004
I7FD42	MSMEI_2941
A0QWP6	MSMEG_3016
A0QWQ9	aroC
I7FD55	aroK
A0QWR0	aroK
I7G160	MSMEI_2958
A0QWR2	MSMEG_3032
A0QWR4	efp
A0QWR5	nusB
I7GAC9	mihF
A0QWS8	MSMEG_3050
A0QWT1	rpoZ
A0QWT3	metK
I7G8C0	MSMEI_2987
A0QWU1	MSMEG_3063
I7GAE8	ribAB
A0QWV0	ribBA
I7G8D5	MSMEI_3002
A0QWV8	MSMEG_3080
A0QWW2	gapA
I7FDA1	pgl
A0QWX6	pgl
I7G8F6	opcA
A0QWX7	opcA
I7G198	zwf
A0QWX8	zwf
A0QWZ8	MSMEG_3121
I7G8H6	MSMEI_3042
I7G1B0	MSMEI_3043
A0QWZ9	sufB
I7FLB0	MSMEI_3044
A0QX00	sufD
I7GAI9	MSMEI_3045
A0QX01	sufC
I7G8I2	MSMEI_3047
A0QX03	MSMEG_3126
I7G8I8	MSMEI_3052
A0QX09	MSMEG_3132
I7FLC5	MSMEI_3059
A0QX17	MSMEG_3140
A0QX20	acnA
I7G1C1	MSMEI_3063
A0QX21	MSMEG_3144
I7G8K6	MSMEI_3067
A0QX25	MSMEG_3148
I7G1D2	MSMEI_3088
A0QX47	MSMEG_3170
A0QX51	lspA
I7FLF6	MSMEI_3094
A0QX53	rarD
I7FDH8	ilvA
A0QX60	ilvA
I7FLG2	glgX
A0QX62	glgX
A0QX72	MSMEG_3196
A0QX75	nadA
I7G8R1	nadA
I7G1F0	nadB
A0QX76	nadB
A0QX82	hisC
A0QX86	impA
I7G1G0	MSMEI_3133
A0QX91	MSMEG_3215
I7FLI8	bcpB
A0QX92	MSMEG_3216
A0QX93	trpE
I7G1G4	trpB
A0QX96	trpB
I7FLJ6	gltD
A0QXA2	MSMEG_3226
I7GGG3	gltD
A0R683	MSMEG_6458
I7G1H4	MSMEI_3153
A0QXB0	MSMEG_3235
I7G8V5	MSMEI_3163
A0QXB9	MSMEG_3246
I7G8Y2	MSMEI_3183
A0QXE0	MSMEG_3267
I7FDX6	MSMEI_3252
A0QXK4	MSMEG_3335
A0QXL3	MSMEG_3344
I7FE05	MSMEI_3277
A0QXM6	MSMEG_3357
I7G1Q9	MSMEI_3279
A0QXM8	MSMEG_3359
I7FM70	MSMEI_3350
A0QXU5	MSMEG_3429
A0QXV9	MSMEG_3443
I7G9J1	MSMEI_3363
A0QXX5	MSMEG_3459
I7G9L0	MSMEI_3378
A0QXX7	katG2
I7G1Y7	MSMEI_3384
A0QXY1	MSMEG_3465
I7FMD8	MSMEI_3390
A0QXY7	MSMEG_3471
I7GBH7	mmpL5
A0QY12	MSMEG_3496
I7FMH3	MSMEI_3420
A0QY17	MSMEG_3501
I7G307	MSMEI_3424
A0QY20	MSMEG_3504
I7GBL0	MSMEI_3456
A0QY51	MSMEG_3536
A0QY55	MSMEG_3540
I7FEN7	mpt53
A0QY58	MSMEG_3543
I7G367	MSMEI_3514
A0QYB1	MSMEG_3596
I7GA15	MSMEI_3518
A0QYB7	MSMEG_3602
A0QYC2	dthD
I7G384	MSMEI_3534
A0QYD4	MSMEG_3619
I7FMR4	MSMEI_3535
A0QYD5	MSMEG_3620
I7GBR7	ndh
A0QYD6	ndh
A0QYE1	ureB
I7FEW5	gnd
A0QYE7	gnd
I7GA39	MSMEI_3548
A0QYE8	MSMEG_3634
I7FEX4	gcvP
A0QYF7	gcvP
I7FMT3	MSMEI_3560
A0QYG1	MSMEG_3646
A0QYG3	gcvH
I7GA58	MSMEI_3568
A0QYH0	MSMEG_3655
A0QYH8	MSMEG_3663
I7GBV1	MSMEI_3576
A0QYI2	MSMEG_3667
A0QYI9	MSMEG_3674
A0QYJ3	MSMEG_3678
I7GBW3	MSMEI_3591
A0QYJ9	MSMEG_3684
I7FF11	MSMEI_3597
I7GA92	MSMEI_3608
A0QYK8	MSMEG_3694
I7GAA1	aceAb
A0QYL9	aceA
I7GBY9	MSMEI_3621
A0QYM2	MSMEG_3710
I7FF59	engA
A0QYP9	der
I7FN33	ppnK
A0QYQ9	nadK
I7FN40	tyrS
A0QYR4	tyrS
I7FF83	MSMEI_3671
A0QYR6	MSMEG_3760
I7GAF0	MSMEI_3672
A0QYR7	MSMEG_3761
A0QYS3	MSMEG_3767
I7G3K0	MSMEI_3678
I7FN52	MSMEI_3679
A0QYS4	MSMEG_3768
A0QYS5	argH
I7FFA5	argJ
A0QYT1	argJ
I7G3K9	pheT
A0QYT3	pheT
I7FN65	pheS
A0QYT4	pheS
I7FFD0	MSMEI_3706
A0QYV0	MSMEG_3795
I7FFF6	uvrB
A0QYX0	uvrB
I7GAM6	MSMEI_3748
A0QYZ1	MSMEG_3837
A0QYZ8	MSMEG_3845
A0QZ09	MSMEG_3856
I7FNE2	MSMEI_3765
I7G3S1	cobN
A0QZ17	cobN
I7GAQ9	cobIJ
A0QZ26	MSMEG_3873
I7FFN3	cobM
A0QZ30	cobM
A0QZ38	MSMEG_3885
I7FNH3	helY
A0QZ40	tatA
I7GAS5	MSMEI_3798
A0QZ41	MSMEG_3888
A0QZ42	pafA
A0QZ47	prcB
I7GAT4	MSMEI_3808
A0QZ50	thpD
A0QZ69	MSMEG_3918
I7G3X2	MSMEI_3829
A0QZ73	MSMEG_3921
I7FFT7	MSMEI_3832
I7G407	MSMEI_3869
A0QZB2	MSMEG_3961
I7GB10	MSMEI_3888
A0QZD0	MSMEG_3981
I7G428	fadE25
A0QZD1	MSMEG_3982
I7FG79	MSMEI_3947
A0QZJ0	MSMEG_4042
I7FGA6	MSMEI_3977
A0QZM1	MSMEG_4076
I7GBA6	MSMEI_3983
A0QZM6	MSMEG_4082
I7GCU3	MSMEI_3986
A0QZM9	MSMEG_4085
I7G4E9	MSMEI_4019
A0QZR2	MSMEG_4118
A0QZS2	MSMEG_4128
I7G4F7	MSMEI_4029
A0QZT4	MSMEG_4142
I7G4G5	MSMEI_4044
I7FP83	MSMEI_4065
A0QZV5	MSMEG_4163
A0QZX2	hisE
I7FPA2	MSMEI_4085
A0QZX4	MSMEG_4183
A0QZX8	MSMEG_4187
I7G4J4	MSMEI_4089
A0QZY0	mshC
I7FPB2	MSMEI_4095
A0QZY4	MSMEG_4193
I7FGL5	MSMEI_4102
A0QZZ1	MSMEG_4200
A0R008	sepF
I7GD31	MSMEI_4122
A0R009	MSMEG_4220
I7FPE5	murF
A0R020	murF
I7GBN3	MSMEI_4134
A0R023	MSMEG_4234
A0R024	rsmH
I7GD47	MSMEI_4142
A0R031	MSMEG_4242
A0R032	MSMEG_4243
I7FGQ4	pknL
A0R033	aroG
A0R036	MSMEG_4247
I7FGR0	MSMEI_4148
A0R037	MSMEG_4248
I7FGS8	qcrB
A0R052	MSMEG_4263
I7GD63	ctaC
A0R057	MSMEG_4268
I7GBR1	cobT
A0R064	cobT
A0R066	ilvE
A0R071	MSMEG_4282
I7FPJ2	MSMEI_4181
I7FPJ5	MSMEI_4186
A0R076	MSMEG_4287
A0R079	glnA
A0R083	glnA
I7GD82	panB
A0R087	panB
I7GD85	MSMEI_4207
A0R097	MSMEG_4308
A0R0A1	MSMEG_4313
I7FGZ1	MSMEI_4213
A0R0B0	aceE
I7FH03	MSMEI_4224
A0R0B1	MSMEG_4324
I7G4Y2	MSMEI_4236
A0R0C3	MSMEG_4336
I7GBX4	adhE2
A0R0C7	MSMEG_4340
I7G4Z2	MSMEI_4246
A0R0D4	MSMEG_4347
I7FPR2	ilvX
A0R0D5	MSMEG_4348
A0R0I7	MSMEG_4400
I7GDI5	MSMEI_4359
A0R0Q4	MSMEG_4469
A0R0Q5	MSMEG_4470
I7FHG3	MSMEI_4360
A0R0R3	MSMEG_4479
I7G5A6	MSMEI_4373
A0R0R8	MSMEG_4484
I7FHI2	furB
A0R0S1	MSMEG_4487
I7FHJ6	MSMEI_4386
A0R0T1	MSMEG_4497
A0R0T9	hrcA
A0R0U5	MSMEG_4511
I7G5F3	mbtB
A0R0U9	MSMEG_4515
I7FQ98	MSMEI_4414
A0R0W1	MSMEG_4527
A0R0W2	cysH
I7GDN9	cysH
I7GCG5	cysA
A0R0W4	cysA
I7FQA4	MSMEI_4419
A0R0W6	cysT
I7GDQ4	MSMEI_4440
A0R0Y6	MSMEG_4553
A0R0Z0	MSMEG_4558
I7GDR4	rnz
A0R0Z8	rnz
I7GCI6	MSMEI_4467
A0R110	MSMEG_4579
I7GDU2	nadE
A0R143	nadE
A0R148	proB
A0R149	obg
I7G5N8	valS
A0R155	valS
A0R156	MSMEG_4631
I7FQG7	MSMEI_4514
I7GDW1	MSMEI_4530
A0R173	MSMEG_4648
I7G5R9	MSMEI_4548
A0R192	MSMEG_4667
A0R198	clpP
I7FI10	MSMEI_4563
A0R1A4	MSMEG_4681
I7FI17	MSMEI_4573
A0R1B3	pepN
I7FQK8	MSMEI_4576
A0R1B6	MSMEG_4693
A0R1C2	gdh
I7FI28	MSMEI_4583
A0R1C3	MSMEG_4700
A0R1C7	MSMEG_4704
I7GDY7	MSMEI_4587
I7FQM2	MSMEI_4592
A0R1D1	MSMEG_4709
I7GCS3	MSMEI_4600
A0R1D9	MSMEG_4717
A0R1E1	MSMEG_4719
I7FQM8	MSMEI_4602
A0R1E5	MSMEG_4723
I7G5W6	MSMEI_4606
A0R1H2	MSMEG_4752
I7GCU5	MSMEI_4632
I7GCU8	MSMEI_4637
A0R1H7	MSMEG_4757
I7G5Z8	MSMEI_4648
A0R1I9	MSMEG_4770
A0R1M9	MSMEG_4811
I7GCY3	MSMEI_4687
I7GCZ2	MSMEI_4702
A0R1P4	MSMEG_4826
I7G649	MSMEI_4708
A0R1Q0	MSMEG_4832
I7G658	MSMEI_4723
A0R1R5	MSMEG_4847
I7G689	MSMEI_4763
A0R1V6	MSMEG_4888
A0R1V9	MSMEG_4891
I7FIL8	MSMEI_4772
A0R1W6	MSMEG_4900
I7FR29	MSMEI_4775
A0R1W9	MSMEG_4902
I7FIM9	MSMEI_4782
A0R1X6	MSMEG_4909
A0R1Y0	MSMEG_4913
I7GED1	MSMEI_4786
I7GED5	MSMEI_4791
A0R1Y5	MSMEG_4917
I7GD68	MSMEI_4806
A0R1Z7	MSMEG_4934
A0R1Z9	atpC
A0R200	atpD
A0R201	atpG
A0R203	atpFH
I7FIS1	MSMEI_4820
A0R212	MSMEG_4948
A0R215	rpmE
A0R220	thrC
I7FR86	MSMEI_4844
A0R234	MSMEG_4971
I7GD91	cysD
A0R242	cysD
I7FR97	MSMEI_4859
A0R249	MSMEG_4986
I7GEJ1	MSMEI_4885
A0R276	MSMEG_5013
I7FIZ3	MSMEI_4886
A0R277	MSMEG_5014
I7GDB6	MSMEI_4887
A0R278	MSMEG_5015
I7G6K6	MSMEI_4888
A0R279	MSMEG_5016
A0R280	MSMEG_5017
I7FRC2	MSMEI_4889
I7GEL8	MSMEI_4910
A0R299	MSMEG_5036
I7GEM9	deaD
A0R2A4	deaD
I7FJ73	MSMEI_4921
A0R2B0	MSMEG_5048
A0R2B7	MSMEG_5055
I7G6R7	MSMEI_4928
A0R2D5	MSMEG_5073
I7GEQ6	MSMEI_4955
A0R2E3	MSMEG_5081
I7GER0	fadD6
A0R2E8	MSMEG_5086
I7FJB1	MSMEI_4961
A0R2E9	MSMEG_5087
I7GDI7	MSMEI_4972
A0R2G1	MSMEG_5101
I7FJD8	MSMEI_4996
A0R2I2	MSMEG_5124
I7G6W7	fbiC
A0R2I4	MSMEG_5126
I7GEV4	MSMEI_5025
A0R2L6	MSMEG_5158
A0R2N3	sir2
A0R2N8	MSMEG_5180
I7FJI9	echA10
A0R2P3	MSMEG_5185
I7GEX2	MSMEI_5055
A0R2P7	MSMEG_5189
I7FJJ8	MSMEI_5061
A0R2Q4	MSMEG_5196
I7GDP0	MSMEI_5062
A0R2Q5	MSMEG_5197
I7G720	bpoB
A0R2R7	MSMEG_5209
A0R2S1	MSMEG_5213
I7GDQ2	MSMEI_5077
I7FRU0	MSMEI_5084
A0R2S9	MSMEG_5221
A0R2T1	MSMEG_5223
I7FJM2	MSMEI_5086
A0R2T2	ispH
I7GDQ8	ispH1
I7G733	MSMEI_5088
A0R2T3	MSMEG_5225
I7GF03	MSMEI_5100
A0R2U6	MSMEG_5238
A0R2U9	MSMEG_5241
I7FJP1	devR
A0R2V2	MSMEG_5244
I7GF12	desA2
A0R2V6	MSMEG_5248
A0R2V7	glyA
I7GDS9	MSMEI_5117
A0R2W3	MSMEG_5255
I7FRW2	MSMEI_5119
A0R2W5	MSMEG_5257
I7GDT7	metB
A0R2X3	MSMEG_5265
A0R2Z1	MSMEG_5283
I7FRY2	MSMEI_5144
I7FJV4	MSMEI_5161
A0R312	MSMEG_5304
I7GDW2	MSMEI_5162
A0R313	MSMEG_5306
I7GF74	MSMEI_5195
A0R346	MSMEG_5340
I7FS91	MSMEI_5265
A0R3B6	MSMEG_5413
A0R3B8	eno
A0R3C1	MSMEG_5418
I7G7L6	MSMEI_5269
I7G7M2	mfd
A0R3C5	mfd
A0R3C7	glmU
I7GFB2	rplY
A0R3D2	rplY
I7G7N5	tatD
A0R3E1	MSMEG_5440
I7FSB5	rsmI
A0R3E7	rsmI
A0R3F1	soxR
I7G7P5	MSMEI_5300
I7GFD2	MSMEI_5318
A0R3G8	MSMEG_5468
I7GE78	MSMEI_5325
A0R3H5	MSMEG_5475
I7G7T0	mscL
A0R3I2	mscL
I7FKD5	MSMEI_5334
A0R3I6	MSMEG_5486
A0R3J6	MSMEG_5496
I7FKE7	MSMEI_5344
I7FKG6	MSMEI_5359
A0R3L0	MSMEG_5511
A0R3L5	purN
I7FKH1	purN
I7FSI8	sucD
A0R3M3	sucD
A0R3M4	sucC
A0R3N9	pgi
A0R3R7	ligD
A0R3S3	MSMEG_5576
I7G880	MSMEI_5426
I7FKT6	MSMEI_5439
A0R3T7	MSMEG_5591
I7FSS5	MSMEI_5442
A0R3U0	MSMEG_5593
I7FKW8	MSMEI_5485
A0R3Y1	MSMEG_5635
I7GFK5	echA6
A0R3Y5	MSMEG_5639
I7GEL2	MSMEI_5511
A0R405	MSMEG_5660
A0R414	MSMEG_5668
I7G8I6	MSMEI_5527
A0R422	MSMEG_5677
I7GEN2	MSMEI_5546
A0R442	MSMEG_5697
A0R443	moaA
I7FL16	moaE2
A0R446	moaE
I7G8L4	moaC2
A0R448	moaC
I7FT03	MSMEI_5553
A0R449	MSMEG_5704
A0R453	MSMEG_5708
I7G8M1	MSMEI_5557
A0R467	MSMEG_5722
I7FL34	MSMEI_5570
I7G8P8	far
A0R479	MSMEG_5734
A0R480	kdc
A0R4A8	MSMEG_5767
I7FL73	MSMEI_5614
I7FT50	MSMEI_5617
A0R4B1	MSMEG_5770
I7FT54	phoU2
A0R4B7	phoU
I7G8T7	MSMEI_5627
A0R4C1	pstA
I7FT63	thiX
A0R4C6	MSMEG_5786
I7GEU9	dat
A0R4D5	MSMEG_5795
A0R4E3	MSMEG_5803
I7GFS6	MSMEI_5679
A0R4H6	MSMEG_5837
I7GEY7	MSMEI_5691
A0R4I8	MSMEG_5848
I7FTC7	MSMEI_5703
A0R4K1	MSMEG_5862
I7FTD7	phoP
A0R4L1	phoP
I7GFU0	MSMEI_5714
A0R4L2	MSMEG_5873
I7GF35	fadE27
A0R4P5	MSMEG_5907
A0R4R3	kshA
I7FLL1	MSMEI_5767
A0R4R4	MSMEG_5927
I7FTK0	MSMEI_5770
A0R4R7	MSMEG_5929
A0R4S9	ksdD
I7FTS8	echA20
A0R4Y9	MSMEG_6001
A0R528	kstR
I7FLY6	MSMEI_5882
A0R529	otsB
A0R558	cysS
I7GFE7	MSMEI_5928
A0R569	MSMEG_6086
I7GA06	lsr2
A0R576	MSMEG_6092
A0R577	lysS
I7FU37	lysS1
I7GA12	MSMEI_5939
A0R581	MSMEG_6098
I7GG40	ftsH
A0R588	ftsH
A0R597	ppa
I7FU54	ppa
I7GFG2	rsfB
A0R5B0	MSMEG_6127
A0R5B4	MSMEG_6131
I7FMA1	MSMEI_5972
I7FU69	MSMEI_5975
A0R5B7	MSMEG_6134
I7GFG5	MSMEI_5978
A0R5C0	MSMEG_6137
I7GFG7	MSMEI_5988
A0R5C8	MSMEG_6145
I7FU85	holB
A0R5D5	MSMEG_6153
I7GG58	MSMEI_5997
A0R5D6	MSMEG_6154
I7GA71	MSMEI_6005
A0R5E5	MSMEG_6163
A0R5G1	acsA
I7GA89	MSMEI_6025
A0R5G7	MSMEG_6185
I7FMD9	MSMEI_6028
A0R5H0	MSMEG_6188
I7GFH6	MSMEI_6029
A0R5H1	MSMEG_6189
I7GA94	MSMEI_6030
A0R5H2	MSMEG_6190
I7GFI2	MSMEI_6045
A0R5I7	MSMEG_6206
A0R5J2	MSMEG_6211
I7GFI4	MSMEI_6050
I7GAB3	MSMEI_6051
A0R5J3	MSMEG_6212
I7FMF7	MSMEI_6054
A0R5J6	MSMEG_6215
A0R5J7	MSMEG_6216
I7GFI6	MSMEI_6055
A0R5K0	MSMEG_6219
I7FMG4	MSMEI_6064
A0R5K6	MSMEG_6224
A0R5L0	glpK
I7GG85	glpK
I7GAC8	MSMEI_6071
A0R5L3	katA
I7GAD2	MSMEI_6076
A0R5L8	MSMEG_6236
A0R5M1	MSMEG_6240
I7GAD7	MSMEI_6081
A0R5M3	MSMEG_6242
I7GFK4	ask
A0R5N8	MSMEG_6257
I7GG96	MSMEI_6098
A0R5P1	glnT
I7FMJ3	MSMEI_6099
A0R5P2	MSMEG_6261
I7FML1	MSMEI_6119
A0R5R5	MSMEG_6284
I7GFM9	MSMEI_6156
A0R5V2	MSMEG_6322
A0R5V8	MSMEG_6330
I7GAK6	tyrA
A0R5X8	pat
A0R5Z2	glfT1
I7FUP6	MSMEI_6202
A0R5Z5	pcaC
I7GFP7	MSMEI_6205
A0R5Z8	MSMEG_6373
A0R607	dprE1
A0R609	katG1
I7GGE0	accD4
A0R616	MSMEG_6391
I7GFQ8	MSMEI_6230
A0R623	MSMEG_6398
I7FMW3	MSMEI_6239
A0R632	MSMEG_6407
I7FUT8	MSMEI_6252
A0R645	MSMEG_6420
I7GFR9	glpQ1
A0R648	MSMEG_6423
A0R652	sodA
A0R679	MSMEG_6454
I7GFT1	MSMEI_6285
A0R689	MSMEG_6464
I7FUX3	MSMEI_6292
A0R692	dps
A0R6A3	MSMEG_6478
I7GAW9	MSMEI_6311
A0R6A8	MSMEG_6483
I7GGH7	MSMEI_6328
A0R6C5	MSMEG_6500
I7GAZ2	MSMEI_6336
A0R6D3	MSMEG_6508
A0R6D4	MSMEG_6509
I7FV14	MSMEI_6337
A0R6E0	treS
I7GGJ0	MSMEI_6363
A0R6G3	MSMEG_6538
I7GB23	MSMEI_6376
A0R6H7	MSMEG_6553
I7FV42	MSMEI_6377
A0R6H8	MSMEG_6554
I7GB40	MSMEI_6401
A0R6K3	MSMEG_6579
I7GFZ2	MSMEI_6425
A0R6M5	MSMEG_6602
I7FVB3	MSMEI_6427
A0R6M7	MSMEG_6605
I7GG09	MSMEI_6465
A0R6R5	MSMEG_6643
A0R6T4	MSMEG_6664
I7FNS0	MSMEI_6484
I7GG28	MSMEI_6540
A0R6Z3	MSMEG_6723
I7FNW3	MSMEI_6544
A0R6Z7	MSMEG_6727
A0R6Z9	MSMEG_6730
I7GBI2	MSMEI_6546
I7FVL5	MSMEI_6547
A0R700	MSMEG_6729
I7FVN2	MSMEI_6572
A0R724	MSMEG_6754
A0R730	MSMEG_6761
I7GGN8	glpD2
A0R738	MSMEG_6768
I7GBL7	MSMEI_6586
I7GG59	MSMEI_6620
A0R771	MSMEG_6802
I7FVS5	MSMEI_6632
A0R780	MSMEG_6813
I7GGR3	MSMEI_6683
A0R7D2	MSMEG_6866
A0R7F6	rplI
A0R7F7	rpsR2
I7GG99	MSMEI_6715
A0R7G1	MSMEG_6899
A0R7H1	MSMEG_6911
I7GBY6	MSMEI_6726
A0R7H2	MSMEG_6913
A0R7H5	leuS
I7GBZ5	pcnB
A0R7I2	MSMEG_6926
A0R7I3	MSMEG_6927
I7FW08	MSMEI_6737
I7FW12	trxB
A0R7I9	trxB
A0R7J1	MSMEG_6935
I7FPF9	MSMEI_6744
I7GGB4	oxaA
A0R7J7	MSMEG_6942
A0R7K1	dnaA
